kettle_accuracy,kettle_precision,kettle_recall,kettle_f1,toaster_accuracy,toaster_precision,toaster_recall,toaster_f1,microwave_accuracy,microwave_precision,microwave_recall,microwave_f1,dishwasher_accuracy,dishwasher_precision,dishwasher_recall,dishwasher_f1,fridge_accuracy,fridge_precision,fridge_recall,fridge_f1,washing_machine_accuracy,washing_machine_precision,washing_machine_recall,washing_machine_f1,epoch,train_loss
0.8590208522212148,0.0,0.0,0.0,0.8531978931527464,0.0,0.0,0.0,0.8603820469016928,0.0,0.0,0.0,0.8616806031298274,0.2647058823529412,0.5625,0.36,0.5589833301011797,0.6431372549019608,0.1374685666387259,0.2265193370165746,0.613812596075937,0.15292712066905614,0.47761194029850745,0.2316742081447964,1,0.48217555933765005
0.8636501002774801,0.0,0.0,0.0,0.893660647103085,0.0,0.0,0.0,0.9035661593415126,0.0,0.0,0.0,0.8663946537712405,0.19,0.6785714285714286,0.296875,0.5491382170372424,0.6277495769881557,0.3109807208717519,0.41591928251121074,0.629472500511143,0.0,0.0,0.0,2,0.4673955885427339
0.8440067034808649,0.0,0.0,0.0,0.8602708803611738,0.0,0.0,0.0,0.8686616710669358,0.0,0.0,0.0,0.8742150245147424,0.18969555035128804,0.7232142857142857,0.300556586270872,0.5511788812688421,0.5500641848523748,0.7183570829840737,0.6230461650308978,0.6277459733296986,0.15217391304347827,0.026119402985074626,0.044585987261146494,3,0.4418808008943285
0.8675513063545701,0.0,0.0,0.0,0.8624153498871332,0.0,0.0,0.0,0.8966163224103122,0.0,0.0,0.0,0.8662393377661362,0.17824074074074073,0.6875,0.28308823529411764,0.5461900121646507,0.5465489566613162,0.5708298407376362,0.5584255842558425,0.6305354884633151,0.17355371900826447,0.07835820895522388,0.10796915167095116,4,0.44843653451119153
0.8652984972114619,0.0,0.0,0.0,0.8730060195635816,0.0,0.0,0.0,0.8940052803230315,0.0,0.0,0.0,0.8475552421250588,0.1596806387225549,0.7142857142857143,0.26101141924959215,0.5770540068820831,0.5525065963060686,0.8776194467728415,0.6781088082901554,0.6443164694033637,0.0,0.0,0.0,5,0.43440165062035835
0.8608340888485948,0.0,0.0,0.0,0.8740218209179834,0.0,0.0,0.0,0.9002077185898432,0.0,0.0,0.0,0.8904140640741486,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.5792565459123408,0.6228668941979523,0.30595138306789604,0.41034288926363127,0.6318445822637194,0.0,0.0,0.0,6,0.4312196818845613
0.8550234896563093,0.0,0.0,0.0,0.8773325808878856,0.0,0.0,0.0,0.8922678210902314,0.0,0.0,0.0,0.8930124588622473,0.21891891891891893,0.7232142857142857,0.3360995850622407,0.5798960315030797,0.6079545454545454,0.4484492875104778,0.5161601543656537,0.6336629258577736,0.1875,0.04477611940298507,0.07228915662650602,7,0.4266656387065138
0.8734580620346712,0.0,0.0,0.0,0.8996425884123401,0.0,0.0,0.0,0.9050415437179685,0.0,0.0,0.0,0.8832149573510645,0.21348314606741572,0.6785714285714286,0.3247863247863248,0.5603953271072973,0.611336032388664,0.2531433361274099,0.35803200948429165,0.6480951407346829,0.0,0.0,0.0,8,0.4266167616205556
0.8591719552734964,0.0,0.0,0.0,0.85709179834462,0.0,0.0,0.0,0.8918698555676348,0.0,0.0,0.0,0.910886392638861,0.325,0.5803571428571429,0.4166666666666667,0.5727058254092147,0.5912951167728238,0.46689019279128247,0.5217798594847776,0.6511260289117579,0.0,0.0,0.0,9,0.42657643939767564
0.8617819170856342,0.0,0.0,0.0,0.8551730624529722,0.0,0.0,0.0,0.8966454418387948,0.25,0.0425531914893617,0.07272727272727272,0.871184263550272,0.1772428884026258,0.7232142857142857,0.28471001757469244,0.5599641952178018,0.6128,0.32103939647946356,0.4213421342134213,0.6541512377231045,0.15384615384615385,0.014925373134328358,0.027210884353741496,10,0.42154430129698345
